item_name,true_label,pred_label
"كينوود محضر طعام، 750 واط، 2 لتر، خلاط وخفاقة، صانع عجين، FDP03.C2WH، ابيض",Small Domestic Appliances,Major Domestic Appliances
"سنيكرز شوكولاتة عبوة اقتصادية,5 × 45 جم",Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
ناجارايا الأصلي سناك مصنوع من السوداني 160 جم,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
"اي وينا واقي اذن للاطفال الرضع والاطفال الصغار من شهر الى سنتين - اغطية اذن بخاصية الغاء الضوضاء - سماعات راس للاطفال ضد تلف السمع تحسن من اساسيات النوم والسفر بالطائرة، ازرق سماوي",Protective Wear,Protective Wear
Eacam Electric Socket Tester Outlet Tester Digital LCD Display with NCV Test RCD Test Polarity Test Electric Circuit Polarity Voltage Detector Home School Office Laboratory Factory Safety Inspection,General Electrical Hardware,Electrical Connection/Distribution
المراعي سمن زبدة صافي 400جم,Oils/Fats Edible,Oils/Fats Edible
مصباح سقف LED 24 واط RGB+CCT من ايكام,Electrical Lighting,Electrical Lighting
"مجموعة انابيب وتركيبات انابيب كهربائية من بلاستيك PVC من بيلا مكونة من 10 قطع - حل متين ومقاوم للتآكل للاسلاك والكابلات الكهربائية الداخلية والخارجية (سرج، 20 ملم)",Electrical Cabling/Wiring,Electrical Cabling/Wiring
"يوجرين سلك تمديد 65 وات 10 في 1 مع 4 فتحات USB، شريط طاقة واقي من زيادة التيار مع مقبس شاحن USB متعدد المقابس 6 اتجاهات، محطة شحن ذكية، كابل تمديد 2 متر للمنزل والمكتب والسفر",General Electrical Hardware,Electrical Cabling/Wiring
"ملابس داخلية بدون خياطة للنساء من دريس سيسي، سروال داخلي قصير ومن دانتيل غير ظاهر، عبوة من قطعتين",Underwear,Underwear
"KASTWAVE Black Baseball Cap, Running Hat, Golf Hats, Quick Dry Sports Cap, Summer UV Protection Outdoor Cap, for Men and Women (Black)",Activewear,Activewear
حبوب منع الحمل ياسمين 21 قرص,Family Planning,Family Planning
LuLu Pure Cow Ghee 500 ml,Oils/Fats Edible,Oils/Fats Edible
عدة فحص اسلاك الشبكة المحلية والايثرنت RJ45 RJ11 RJ12 فئة 5 اي و6 اي,Electronic Communication Components,Electrical Cabling/Wiring
"بلايز سباحة للنساء بي في اتش من كالفن كلاين، لون أسود، مقاس XL",Swimwear,Swimwear
تمور لولو تمر مبروم 500 جم,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruits - Unprepared/Unprocessed (Fresh)
موزع ماء ساخن 2.6 لتر لسطح المكتب,Small Domestic Appliances,Major Domestic Appliances
Wrigley's Extra Spearmint Gum Sugar Free 6 x 60 pcs,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
Eastern Coriander Powder 200 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
سفرجل- كغم 2.0,Fruits - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Shelf Stable)
"Origami Paper 100 sheets Hearts & Flowers 6"" (15 c: Tuttle Origami Paper: Double-Sided Origami Sheets",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
Passion Fruit India 500 g,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
Ivarin 20 mg Tablet 30,Pharmaceutical Drugs,Health Treatments/Aids
Men's HeatGear Compression Long-Sleeve T-Shirt,Activewear,Activewear  ## Instruction:
ميلما سمن 500 مل,Oils/Fats Edible,Oils/Fats Edible
جل التراساوند جالون 5 لتر – استريموا,Medical Devices,Health Treatments/Aids
"عبوة من 10 انابيب وتركيبات انابيب كهربائية من بلاستيك PVC من بيلا - حل متين ومقاوم للتاكل للاسلاك والكابلات الكهربائية الداخلية والخارجية (وصلة على شكل حرف U، 20 ملم)",Electrical Cabling/Wiring,Electrical Cabling/Wiring
Bitray Marine Battery Busbar Terminal Block 12V 300A,Electrical Connection/Distribution,Electrical Connection/Distribution
ميزان حرارة رقمي FT09 من بويرر,Home Diagnostics,Healthcare - Medical Devices
Hap Tim Soft Cooler Bag 40-Can Large Reusable Grocery Bags Upgraded Soft Sided Collapsible Travel Cooler for Outdoor Travel Hiking Beach Picnic BBQ Party (AE13634),Camping,Camping
Iceberg Lettuce,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
"سروال سباحة للرجال من تومي هيلفجر، هيليفيغر، نايلون",Swimwear,Swimwear
مطرقة تثبيت من بي ام بي تولز - 25 ملم | مطرقة مطاطية مزدوجة الرأس 25 ملم مطرقة مطاطية ناعمة قابلة للاستبدال لتركيب بلاط الأرضيات والحرف اليدوية,Tools/Equipment,Tools/Equipment
"مجموعة خوذة الدراجة مع وسادات للركبة والكوع وواقيات المعصم، مجموعة معدات حماية خوذة قابلة للتعديل للأطفال والشباب، خوذة دراجة للتزلج",Protective Wear,Protective Wear
"شورت سباحة بلوك للرجال من اوربان كلاسيكس، نايلون",Swimwear,Swimwear
Royal Chicken Strips 750 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
LuLu Vegetable Ghee 500 ml,Oils/Fats Edible,Oils/Fats Edible
"MOMMED Ovulation Test Strips, 50 LH Ovulation Predictor Kit with Free 50 Collection Cups, Accurately Track Ovulation Test, High Sensitivity Result for Women Home Testing",Family Planning,Family Planning
جهاز قياس الرطوبة والحرارة اليكترونى,Medical Devices,Healthcare - Medical Devices
MI Excite MI Excite Gaming PC ECO Core i5 12400F CPU RTX 3060 GPU DDR4 H610 MB DDR4 16GB RAM 1000GB SSD M.2  600w PSU  Black Black RTX 3060,Computers/Video Games,Computers/Video Games  >  Computers  >  Desktops  >  Gaming Desktops
Almarai Mixed Berry Juice No Added Sugar 1.4 Litres,Beverages,Beverages
باراشوت زيت جوز الهند 500 مل,Oils/Fats Edible,Oils/Fats Edible
باطوق علك بنكهة الهيل 5 حبات,Confectionery/Sugar Sweetening Products,Cereal/Grain/Pulse Products
Oska Bottled Drinking Water 1.5 Litres,Beverages,Beverages
"ثوب سباحة طويل للنساء، ثوب سباحة شفاف برباط جانبي وتنورة ملتفة للشاطئ والبيكيني، مقاس عالمي",Swimwear,Swimwear
فيكس شراب للسعال 100 مل,Pharmaceutical Drugs,Health Treatments/Aids
"Forehead Thermometer for Adults and Kids, KKmoon Digital Infrared Thermometer LCD Non-contact Temperature Meter with Fever Alarm Dual Temperature Mode 3-Color Backlight Data Storage-CE Approved",Home Diagnostics,Home Diagnostics
Fresh Broccoli Sliced Tray,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
يانتنز طاولة كمبيوتر مع رف كتب أبيض 120x55x73 سم,Computers/Video Games,Computing/Video Games-Computers
"خزانة تحكم من الستانلس ستيل من تشينجبي، صندوق توزيع داخلي مقاوم للماء مع قفل، صندوق توزيع يثبت على الحائط للاسلاك/صندوق التوصيل، 400 × 350 × 150 ملم",Electrical Connection/Distribution,Electrical Connection/Distribution
GearZone 21V Wireless Reciprocating Saw,Tools/Equipment,Power Tools
Tiffany Delight Triple Chocolate Cookies 3 x 100 g,Bread/Bakery Products,Bread/Bakery Products
Rahaf Sunflower Oil 5 Litres,Oils/Fats Edible,Oils/Fats Edible
"XICEN Ring Battery Charger, Dual Port Charging Station for Ring Spotlight Cam Battery, Ring Video Doorbell 2 & Ring Stick Up Cam Battery (Ring Batteries NOT Included)",Electrical Connection/Distribution,Electrical Connection/Distribution
عصير العنب الأحمر رودس 1 لتر,Beverages,Beverages
باتافيا,Vegetables - Unprepared/Unprocessed (Shelf Stable),Cereal/Grain/Pulse Products
"Dresses Women Dress Bohemian Plus Size Floral Print Summer Beach Women Dresses for Mother of Bride Summery (Red,Large)",Clothing,Clothing
"JoyFan Charging Cable Adapter, Socket 10A 220V V2L Power Conversion Plug 2.5kW Electric Vehicle to Charging Adapter for IEC 62196-2 Type 2 EV RV Accessories (Black)",Electrical Cabling/Wiring,General Electrical Hardware
Buscopan Cramps Tablets 20s,Pharmaceutical Drugs,Health Treatments/Aids
"كيه دي جي مصباح طاولة لاسلكي، مصباح مكتب LED محمول، يعمل ببطارية 5000mAh، 3 الوان خافتة بدون خطوات، للمطاعم/غرفة النوم/الحانات/الحفلات الخارجية/التخييم/المقهى (اسود)",Electrical Lighting,Electrical Lighting
"فوني كيمونو للنساء، شال كارديجان، ملابس سباحة صيفية تغطي الشاطئ مع طباعة زهور للعطلات",Swimwear,Swimwear
"طقم حزام زفاف من الساتان من ميري جولي، اربطة للعروس للنساء، رباط ساق للزفاف، مقاس واحد (15-23 انش)",Underwear,Underwear
"TZYTHT Lineman Prayer Gifts,Minimalist Personalized Engraved Metal Wallet,Slim Wallet for Men,Lineman Wallet for Him Husband Boyfriend Dad Uncle Electric Cable Lineman Be Safe Gift (Lineman Wallet)",Electrical Cabling/Wiring,General Electrical Hardware
McVitie's Digestive Creams Vanilla Filled Wheat Biscuit 12 x 40 g,Confectionery/Sugar Sweetening Products,Bread/Bakery Products
لولو شرائح لحم جاموس مجمد بدون عظم 900 جم,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
كمثري طازجة- كغم 2.0,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
بانادول ادفانس 24 قرص,Pharmaceutical Drugs,Health Treatments/Aids
Lollo Bionda,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
سروال قصير رجالي من Fruit Of The Loom Coolzone Boxer 5 عبوات قطن,Underwear,Underwear
ماجي خلطة بشاميل طبيعي 80 جم,Seasonings/Preservatives/Extracts,Cereal/Grain/Pulse Products
مووف كريم تخفيف الام سريع - 50 غرام عبوة من 3 قطع,Health Treatments/Aids,Health Treatments/Aids
لفائف الربيع,Prepared/Preserved Foods,Vegetables - Unprepared/Unprocessed (Fresh)
XRTLYH Portable Juice Blender Portable Juicing Cup Multifunctional Household,Small Domestic Appliances,Small Domestic Appliances  #
موقد تخييم قابل للطي للزجاج الامامي للتخييم والنزهات والمشي لمسافات طويلة والانشطة الخارجية مع شنطة تخزين من كيب جرين,Camping,Outdoor Cooking
"Almonds, 120g",Nuts/Seeds - Unprepared/Unprocessed (Perishable),Nuts/Seeds - Unprepared/Unprocessed (Perishable)
LuLu Cinnamon Stick 100 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
Nutella Hazelnut Spread with Cocoa 825 g,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
Seeberger - Soft Dried Apricot 200g,Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits - Unprepared/Unprocessed (Shelf Stable)
"ماسكو لوحة فنية قماشية فاخرة، مقاس 30 سم × 30 سم، ابيض",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
Al Kabeer Chicken Seekh Kebabs 8 pcs 320 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
mens Jjenoa Tee Ss Crew Neck Noos T-Shirt (pack of 1),Clothing,Clothing
"بروتين نباتي خشن، بديل لحوم نباتي، خال من الهكسان بنسبة 100%، مصنوع من فول الصويا الاصفر المصنف رقم 1، صنع في امريكا، خال من الغلوتين، شبيه بلحم البقر، بدون نكهة، عبوة واحدة، من هولسوم بروفيجنز",Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
Coca-Cola Light Can 6 x 355 ml,Beverages,Beverages
روبيان الكبير متوسط ​​الحجم 400 جرام,Fish and Seafood,Fish and Seafood
"MomMed Pregnancy Tests, 20 x Pregnancy Test Strips (25mIU) with 20pcs Deep Urine Cups, Reliable and Quick Early Detection of Pregnancy, Early Pregnancy Tests, Pregnancy Test Kit",Home Diagnostics,Health Treatments/Aids
لولو فطر كامل عبوة اقتصادية 3 × 425 جم,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Cereal/Grain/Pulse Products
حبوب كولاجين متعددة نوع I وII وIII وV وX ببتيدات الكولاجين معزز الامتصاص مزيج بروتين المغذي بالعشب لمكافحة الشيخوخة وللشعر والجلد والاظافر والمفاصل 90 كبسولة,Health Enhancement,Health Treatments/Aids
Sadia Angus Beef Burger 240 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
Yellow Lentils 500 g,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
"جهاز قياس متعدد رقمي شبكي ايكام يوني-تي UT202A+اقصى قيمة 6000، جذر متوسط مربع حقيقي، مقياس تيار كهربائي متردد/مقياس جهد كهربائي، اختبار ان سي في، قياس قيمة السعة النسبية",General Electrical Hardware,Electrical Connection/Distribution
Indofood Sweet Soy Sauce 140 ml,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
Vivera Plant-Based Steak,Meat/Fish/Seafood Substitutes,Cereal/Grain/Pulse Products
Plain USA Pistachio With Shell-500G,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
مجدي بهارات برياني حب 100 جم,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
"طقم ملابس إسلامية حريمي مكون من قطعتين قميص بأكمام طويلة وأزرار أمامية وسروال من اوديزلي، فستان كاجوال دبي",Clothing,Underwear
Women's Ladies 2-tone College Sweatjacket Sweat Jacket,Clothing,Clothing
Generic BTS Member Series Backpack For Laptop 17-Inch Brown/Orange,Computers/Video Games,Backpacks
Tofurky Plant-Based Deli Slices,Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
جاك اند جونز شورت سباحة بقصة عادية للرجال من فيجي,Swimwear,Swimwear
الشربتلي ثوم مقشر قطع صغيرة 250 جرام,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Unprepared/Unprocessed (Shelf Stable)
Electric Lighting: A Practical Treatise,Electrical Lighting,Electrical Lighting
Amy's Organic California Veggie Burger,Meat/Fish/Seafood Substitutes,Cereal/Grain/Pulse Products
فطيرة كالزوني جبن شيدر-وسط,Bread/Bakery Products,Bread/Bakery Products
Carrots 1 kg,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
"71Pcs Wood Burning Kit, Wood Burning Pyrography Pen Set,Adjustable Temperature Soldering Engraving and Crafts Tools for Wood Burning/Soldering/Carving with Stencils+ Wood Soldering Tips+ Pencils",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
"برجر ليندا مكارتني النباتي، 227 جرام (مجمد)",Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
المراعي عصير توت مشكل بدون إضافة سكر 1.4 لتر,Beverages,Beverages
بينفيتال حبوب لدعم الجهاز البولي للقطط و الكلاب 25 جرام,Veterinary Healthcare,Pet Healthcare
طقم ملابس نوم للنساء مكون من بلوزة للنوم والاسترخاء مع شورت بيجامة,Sleepwear,Sleepwear
alattar Dried Prunes 200 g,Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits - Unprepared/Unprocessed (Shelf Stable)
"محمصة خبز 4 شرائح بشاشة LED من كوسيماكس، 1450 واط، 4 فتحات، مع خاصية الإلغاء/اعادة التسخين/اذابة الثلج، 6 اعدادات للتحميص وصينية فتات الفتات، ستانلس ستيل اسود",Small Domestic Appliances,Major Domestic Appliances
جهاز قياس الحرارة بالأشعة تحت الحمراء للأطفال,Home Diagnostics,Healthcare - Medical Devices
"Oval LED Wall Light, 30W, 2250lm, 30000h long life, for Hallway Porch Wall Lamp, Wall Light Fixture for Yards, Doorways, Garden, Pathway (Warm)",Electrical Lighting,Electrical Lighting  #
ريتز بسكويت مالح 99 جم,Bread/Bakery Products,Bread/Bakery Products
جهاز دياثرمي للكي – Electrosurgical,Medical Devices,Electrical Medical Devices
"10 Pack Wireless Mini LED Spotlights - Battery Operated Warm White Wireless Miniature Lights for Art, Jewelry Display, Closets & DIY Projects (Multi-Color Changing)",Electrical Lighting,Electrical Lighting  #
Braun ThermoScan 7 Ear Thermometer,Home Diagnostics,Medical Devices
أوراق الكزبرة-حزمة,Fruits/Vegetables Fresh & Fresh Cut,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
"Vitalitown Probiotics 120 Billion CFUs | 36 Strains, with Prebiotics & Digestive Enzymes for Men Women | Shelf Stable | Digestive & Immune Support | Vegan, Non-GMO | 30 Delayed Release Veg Caps",Health Enhancement,Health Treatments/Aids
طقم ملابس ترانك للرجال مكون من 3 قطع تومي هيلفجر UM0UM022030XG004 مزيج القطن,Underwear,Underwear
"شورت داخلي عالي الخصر، ملابس داخلية بعد الولادة بخصر مرتفع، مشد خصر لرفع المؤخرة، بوكسر يشكل الجسم، ملابس داخلية عالية الخصر للنساء بعد الولادة",Underwear,Underwear
Wood Chisels Woodworking Carving Chisel Engraving Kni Fe Tool 5 Blades Soft Tube Set,Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
Digilent Basys 3 Artix-7 FPGA Trainer Board: Recommended for Introductory Users,Electronic Communication Components,General Electrical Hardware
"بدلة سباحة بأكمام طويلة لتغطية كاملة للأطفال، بدلة لتغطية كاملة للأطفال الصغار من قطعة واحدة (الإمارات العربية المتحدة/ السعودية، لعمر 6 سنوات، قصة عادية، لون أزرق سماوي)",Swimwear,Swimwear
Amino-Vit Oral Solution,Veterinary Healthcare,Health Treatments/Aids
ساديا برجر دجاج جامبو 1 كجم,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
يو إف سي كاتشاب الموز الحار  320 جم,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
"Arrow Double Door Refrigerator, 11.7 Cubic Feet, 333 Liters, No Frost, Silver, RO2-530NF/520",Major Domestic Appliances,Major Domestic Appliances
Loacker Tortina Original 125 g,Bread/Bakery Products,Cereal/Grain/Pulse Products
"Butter Luxe High Waisted Lounge Legging 25"" - Workout Leggings for Women Buttery Soft Yoga Pants",Activewear,Activewear
ملفوف صيني (للكيلو),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
Bob's Red Mill Organic Chia Seeds 340 g,Nuts/Seeds - Unprepared/Unprocessed (Perishable),Nuts/Seeds - Unprepared/Unprocessed (Perishable)
SKY-TOUCH 58 In 1 Precision Screwdriver Set,Tools/Equipment,Tools/Equipment
أوتوفلور نقط لعلاج التهابات الأذن والعث والطفيليات للقطط والكلاب 15 مل,Veterinary Healthcare,Veterinary Healthcare
"خوذة امان SHK-1 بحافة كاملة من ستودسون: متوافقة مع ANSI/ISEA Z89.1 النوع II (R 2019)، خفيفة الوزن وجيدة التهوية، شريحة اتصال للطوارئ ان اف سي، مقاس واحد، حماية من الفئة C وE",Protective Wear,Protective Wear
أنكور دايلي بلس حليب بودرة مدعم 1.8 كجم,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes
Roadbox UPF 50+ Long Sleeve Shirt Men - UV Sun Shirts Lightweight Quick Dry Rashguard for Outdoor Hiking Swimming Workout Athletic,Swimwear,Activewear
Womens Sleep/Lounge Top With Pajama Shorts Sleepwear Set,Sleepwear,Sleepwear
"Camping Tent Outdoor for 4 Persons, Automatic Pop-Up Tent, Waterproof and Windproof with Sunshade, Portable Beach Tent, Includes Camping Mat",Camping,Camping
"سيللد قطعة فم بوق 7C من باخ، قطعة فم من النحاس المطلي بالكهرباء، اكسسوارات الات موسيقية بوق، اكسسوارات البوق",Musical Instruments/Accessories,Musical Instruments/Accessories
مشرط جراحي تكنوكت بدون يد كربون مقاس 12,Medical Devices,Medical Devices
Earthbath Hot Spot Relief Spray for Dogs - 8 oz,Veterinary Healthcare,Veterinary Healthcare
Double Horse Thanjavur Ponni Boiled Rice 10 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
مانج توماس صلصة لجميع الأغراض 330 جرام,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
AVT Premium Tea 450 g,Beverages,Cereal/Grain/Pulse Products
Surely Early Pregnancy Test Pen - 1 Piece,Home Diagnostics,Health Treatments/Aids
"اداة سحب اسلاك من جويز، اداة سحب كيبلات كهربائية موصلة مع حافظة اثر كهربائية او سحب اسلاك اتصال، بكرة شريط سمك من الالياف الزجاجية بطول 30 متر، تستخدم للجدران الجافة والسقف تحت السجاد او الانابيب",General Electrical Hardware,Electrical Cabling/Wiring
Parachute Coconut Oil 200 ml,Oils/Fats Edible,Oils/Fats Edible
لولو افال رقيقة 500جم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
جوز الهند مبشور طازج-150 غرام,Fruits/Vegetables Fresh & Fresh Cut,Oils/Fats Edible
Durex Intense Pleasure Condoms,Family Planning,Family Planning
"Laura Ashley 2-Slice Toaster, China Rose",Small Domestic Appliances,Major Domestic Appliances
اوفيمر بلس من الارجينين ميو-اينوزيتول الكارنيتين اكياس فيتامين - 30 كيس اف ايه اس,Health Enhancement,Health Treatments/Aids
بابايا سعودي صفراء- كغم 2.0,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
Perdix Frozen Chicken Griller 10 x 1.1 kg,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
"كاليفورنيا جاردنز - بامية زيرو مجمدة، 400 جرام",Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Womene Regular Fit Midi Length Wool Like Double Breasted Coat,Clothing,Clothing
سروال داخلي قصير 3P للرجال من كالفن كلاين,Underwear,Underwear
"Almehbaj Dried Cranberry Fruits Bag, 250 g",Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits - Unprepared/Unprocessed (Shelf Stable)
"فكتوريا سيكريت طقم بيجامة قطن طويل، ملابس نوم للنساء (XS-XXL)",Sleepwear,Sleepwear
Cut Pineapple Kiwi Strawberry-650G,Fruits/Vegetables Fresh Cut,Fruits/Vegetables Fresh Cut
Ibuprofen 200mg Tablets 16s,Pharmaceutical Drugs,Health Treatments/Aids
إكسترا سيف من عبوتين 12,Family Planning,Health Treatments/Aids
"BMB TOOLS Wool wheel ""7",Tools/Equipment,Home Improvement
زادانا بذور الحنطة السوداء عضوي حب كامل 500 جرام,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Oils/Fats Edible
سلتوس,Vegetables - Unprepared/Unprocessed (Shelf Stable),Fruits/Vegetables Fresh Cut
فورنو بونومي سافوياردي بسكويت ليدي فينجرز 200 جم,Bread/Bakery Products,Bread/Bakery Products
فلفل تشيلي راويت أخضر تايلاندي مقطع وجاهز للأكل عبوة 100,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
لولو بودرة حليب جوز الهند ١ كجم,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes
"Azonee Digital Multimeter Tester, Rechargeable Electrical Voltmeter with Smart Mode, Measures Capacitance, Diode, Ohm, Continuity, DC/AC Voltage, with Carrying Case",General Electrical Hardware,Electrical Connection/Distribution
سيفوي سيجنتشر سلكت فاكهة المانجو مجمدة-454 غرام,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen)
باروك سلطة خس و جرجير مغسول وجاهز للأكل 200 جرام,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
"120 مصباح LED تحت الخزانة، مصباح LED يعمل بالحركة وقابل لاعادة الشحن وقابل للتعتيم لاسلكي يثبت على شريط اضاءة ليلي للمطبخ وخزانة الملابس والسلالم (قطعة واحدة)",Electrical Lighting,Electrical Lighting
سيبرجر رقائق الموز المجفف 150جرام,Fruits - Unprepared/Unprocessed (Shelf Stable),Cereal/Grain/Pulse Products
Lulu Pure Sunflower Oil 4 Litres,Oils/Fats Edible,Oils/Fats Edible
ULHYC 21V Cordless Multifunctional Drill Driver Set,Tools/Equipment,Tools/Equipment
Osea Frozen Black Berries-400G,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen)
Noor Sunflower Oil 2.7 Litre,Oils/Fats Edible,Oils/Fats Edible
قميص رياضي حريمي قصير وبدون اكمام من قطن بيما لممارسة التمارين الرياضية واليوغا والجري سي ار زد يوغا,Activewear,Activewear
"Nikai 8 Kg Front Load Washing Machine, Signature Series, Big Chrome Door, Digital Display, Quick Wash, NWM800FN24S",Major Domestic Appliances,Major Domestic Appliances
روبيان مقشر حجم كبير- كغم 1.0,Fish and Seafood,Fish and Seafood
جهاز صدمات ايطالي محمول PRGT,Medical Devices,Medical Devices
كرسي مرافق مريض يدوى,Medical Devices,Healthcare - Medical Devices
"LOMUTY Steel Tongue Drum - 11 Notes 12 inches - Percussion Instrument -Handpan Drum with Bag, Music Book, Mallets, Finger Picks (Green).",Musical Instruments/Accessories,Musical Instruments/Accessories
"HP 15 fd0033nx Laptop With 15.6 Inch Display, Core i5 1334U Processor/8GB RAM/512GB SSD/Intel Iris Xe Graphics/DOS(Without Windows) English/Arabic Silver",Computers/Video Games,Computers/Video Games  >  Computers  >  Laptops  >  Laptops
"Wesoke 80L Camping Hiking Backpack for Men, Extra Large Survival Hunting Backpack, Waterproof Big Molle Military Tactical Rucksack, Oversized Outdoor Sport Travel Daypack for Climbing Touring",Camping,Camping
pack of 2 First Step Plus Pregnancy Test Device,Family Planning,Health Treatments/Aids
Potato Bread-1PCS,Bread/Bakery Products,Bread/Bakery Products
"YOUYUU Mens Swim Shorts, Men's Shorts Breeches Thin Nylon 3/4 Length Trousers Male Board Quick Drying Beach Black Men's Long Shorts (Color : Black, Size : Medium)",Swimwear,Swimwear
سروال بيجامة منسوج للرجال من هانس,Sleepwear,Sleepwear
"لولو سمن نباتي ، 500 مل",Oils/Fats Edible,Oils/Fats Edible
IRaw Almonds,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (Perishable)
جرجير محلي,Vegetables - Unprepared/Unprocessed (Shelf Stable),Vegetables - Unprepared/Unprocessed (Fresh)
كوكا كولا زجاجة غير قابلة للإرجاع 250 مل,Beverages,Beverages
"3 قطع من نظارات السلامة فوق النظارات من جي اكس بوفد، نظارات سلامة مقاومة للخدش، نظارات مختبر مضادة للضباب، حماية شفافة للعين، نظارات أمان شفافة، نظارات حماية للعين",Protective Wear,Protective Wear
Haritham Roasted Semolina 1 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
"BOMEKS Electrical Tapes, 6 Rolls Insulating Tape Self-Adhesive Electrical Tape Waterproof Tape for Indoor Outdoor, Wrapping Wiring Harness, Auto Electrical Protection, Multicolor",General Electrical Hardware,Electrical Cabling/Wiring
Axe Oil 5 ml,Health Treatments/Aids,Health Treatments/Aids
Runner Bean Best Of All,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
Prima Chakki Fresh Atta 5 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
سراويل داخلية للرجال من كالفن كلاين (3 قطع),Underwear,Underwear
كيلوجز كورن فليكس 750 جم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
الكبير ستريبس دجاج زينج حار 750 جم,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
"QJJML Mini Rice Cooker,24H Timing",Small Domestic Appliances,Cooking Appliances
كلينز بذور الشيا 100% نقية وطبيعية - 1000 جم,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Oils/Fats Edible
